cohort_date_proxy,acquisition_timestamp_basis,timezone_status,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,acquired_observed,seminar_applied_observed,seminar_applied_timestamped,meeting_applied_observed,meeting_applied_timestamped,observed_event_flags,timestamped_event_flags,event_timestamp_coverage_rate,event_timestamp_completeness,cohort_age_days,d7_denominator_eligible_proxy,d7_outcome_exact,snapshot_at,quality
2026-07-25,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,0i2ZdKe7PKY,【最新版】AIガチ勢が厳選した、課金すべきAI TOP3 ChatGPTは時代遅れ...？,1,0,0,0,0,2,0,0,partial,26,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-25,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,2,0,0,partial,26,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-25,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,2,0,0,partial,26,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-26,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,,unknown,25,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-26,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,,unknown,25,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
2026-07-26,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,3,0,0,0,0,6,0,0,partial,25,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-26,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,2,0,0,0,0,5,1,0.2,partial,25,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-27,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,,,,,1,1,1,0,0,3,1,0.3333333333333333,partial,24,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-28,proxy_reader_created_at,unverified,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,3,0,0,0,0,5,5,1,complete,23,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-28,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,,unknown,23,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-29,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,1,0,0,0,0,1,0,0,partial,22,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-31,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,1,1,0,0,2,1,0.5,partial,20,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-31,proxy_reader_created_at,unverified,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,1,0,0,0,0,2,2,1,complete,20,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-31,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,0i2ZdKe7PKY,【最新版】AIガチ勢が厳選した、課金すべきAI TOP3 ChatGPTは時代遅れ...？,1,0,0,0,0,2,0,0,partial,20,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-01,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,1,0,0,partial,19,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-01,proxy_reader_created_at,unverified,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,10,0,0,0,0,19,19,1,complete,19,1,0,2026-08-19T16:03:57.733Z,ok
